3 buah apel + 4 buah apel  =;A.  7  buah apel;B.  4 buah apel;C.  6 buah apel;D.  3 buah apel;A.  7 buah apel
Hasil   5  + 3  =;A.  2;B.  4;C.  6;D.  8;D. 8
6 kucing + 5 kucing  =;A.  2 ekor kucing;B.  4 ekor kucing;C.  11 ekor kucing;D.  12 ekor kucing;C.  11 ekor kucing
Hasil Penjumlahan  2  + 3  =;A.  5;B.  4;C.  6;D.  8;A.  5
Elisa mempunyai keranjang buah yang didalamnya terdapat 5 buah mangga, 2 ;A.  11 buah dikeranjang;B.  12 buah dikeranjang;C.  13 buah dikeranjang;D.  14 buah dikeranjang;C.  13 buah dikeranjang
Ani membeli 10 biji permen, 3 buah, berapakah sisa permen yang dimiliki Ani ? ;A.  7  biji permen;B.  4 biji permen;C.  6 biji permen;D.  3 biji permen;A.  7  biji permen
Hasil   5  + 8 - 4  =;A.  2;B.  4;C.  9;D.  10;C.  9
Berapa hasil (6 - 3) x 5  adalah;A.  20;B.  15;C.  11 ;D.  20;B.  15
Hitunglah 200 + 150 + 20 = berapakah hasilanya ?;A.  270;B.  380;C.  370;D.  470;C.  370
Hasil Pengurangan  12  + 8  =;A.  2;B.  4;C.  6;D.  8;B.  4
24 buah apel + 4 buah apel - 10 buah apel  =;A.  27  buah apel;B. 24 buah apel;C.  28 buah apel;D.  30 buah apel;A.  28  buah apel
Hasil   dari  5  x 3  =;A.  15;B.  4;C.  6;D.  8;A. 15
Hasil dari  10 x 10 / 5 =;A.  22;B.  20;C.  30;D.  10;B. 20
Hasil Pembagian  100  + 5  =;A.  5;B.  20;C.  6;D.  8;B.  20
Hasil Penjumlahan  24  + 2 / 2  =;A.  13;B.  4;C.  6;D.  8;A. 13
3 buah apel + 4 buah apel  =;A.  7  buah apel;B.  4 buah apel;C.  6 buah apel;D.  3 buah apel;A.  7 buah apel
Hasil   5  + 3  =;A.  2;B.  4;C.  6;D.  8;D. 8
6 kucing + 5 kucing  =;A.  2 ekor kucing;B.  4 ekor kucing;C.  11 ekor kucing;D.  12 ekor kucing;C.  11 ekor kucing
Hasil Penjumlahan  2  + 3  =;A.  5;B.  4;C.  6;D.  8;A.  5
Hasil Penjumlahan  1  + 3  =;A.  2;B.  4;C.  6;D.  8;B.  4
